epoch	loss	probs	lr
1	5.766551878717211	0.008715796284377575	0.01
2	5.7425912949774	0.00916652892354048	0.01
3	5.781948619418674	0.008398055823312866	0.01
4	5.70406934287813	0.009258191890290214	0.01
5	5.7047704855601	0.009400800530177852	0.01
6	5.641835543844435	0.010060137073095474	0.01
7	5.5753340986039905	0.010924583637259073	0.01
8	5.545757856633928	0.01114323410567724	0.01
9	5.544501350985633	0.01152368624591165	0.01
10	5.502158025900523	0.01182893345442911	0.01
11	5.567024177975124	0.011160027468577027	0.01
12	5.533147719171312	0.011596815453635322	0.01
13	5.446043060885535	0.012671372814414402	0.01
14	5.424532645278507	0.01284547196701169	0.01
15	5.415111866262224	0.013259090133942664	0.01
16	5.3855366640620765	0.013718572755654653	0.01
17	5.356926374965244	0.013851861676408185	0.01
18	5.351791785822974	0.014978996374540858	0.01
19	5.317888458569844	0.01506106453275101	0.01
20	5.211623198456234	0.01669998385477811	0.01
21	5.161847379472521	0.01787184895430174	0.01
22	5.118535273604923	0.01916652099074175	0.01
23	5.037820961740282	0.021162073464236326	0.01
24	4.954852481683095	0.023366360381866496	0.01
25	5.069452318880293	0.020523514417517517	0.01
26	4.940829078356425	0.02384681669839968	0.01
27	4.904911498228709	0.02506261900998652	0.01
28	4.711702277263005	0.029470258081952732	0.01
29	4.967048135068682	0.02427571398826937	0.01
30	4.747521311044693	0.0304615888873943	0.01
31	4.7166752682791815	0.032451160549600094	0.01
32	4.609776841269599	0.03496603788031886	0.01
33	4.498236003849241	0.04141274531785813	0.01
34	4.432060009903378	0.04372809974787136	0.01
35	4.619908240106371	0.03716967350596355	0.01
36	4.449032015270657	0.045962291355762214	0.01
37	4.3115140166547565	0.052941574068326086	0.01
38	4.260113166438209	0.053302477553693786	0.01
39	4.175000531805886	0.05982391872546739	0.01
40	4.210204160875744	0.06051970234451195	0.01
41	4.142996407217449	0.06557743835987316	0.01
42	4.21373066968388	0.059240225392083325	0.01
43	4.040948258505927	0.07704041256672806	0.01
44	3.944532596402698	0.07910524220723245	0.01
45	4.0282026959790125	0.08011199094148146	0.01
46	3.8763787117269306	0.08461017130563657	0.01
47	3.834271470705668	0.09464906244021323	0.01
48	3.8079650501410165	0.09346484434273508	0.01
49	3.668581204281913	0.10404544183984399	0.01
50	3.867870204978519	0.09825599765301579	0.01
51	3.4519672989845276	0.16466341907572415	0.01
52	3.7340801192654505	0.13624499344991314	0.01
53	3.2411063230699964	0.18462841994025642	0.01
54	3.5192398760053845	0.15860533409027588	0.01
55	3.319054067134857	0.17329066671017143	0.01
56	3.2648838526672788	0.1949167793823613	0.01
57	3.5380324357085757	0.14754757072983515	0.01
58	3.1010922143856683	0.21447675344016817	0.01
59	3.0241852932506137	0.23034617801507315	0.01
60	3.100861958331532	0.22263059873754779	0.01
61	2.8711548497279487	0.24378849824683535	0.01
62	2.940046848522292	0.2473392408962051	0.01
63	2.801262860496839	0.2769236372162898	0.01
64	2.9011774245235653	0.24458700330514047	0.01
65	2.911980433596505	0.24724111085136732	0.01
66	2.8933442615800433	0.2506822340397371	0.01
67	2.697342218624221	0.28091668006446624	0.01
68	2.655470680859354	0.2902108362565438	0.01
69	2.5266620251867504	0.3165505433248149	0.01
70	2.8378206657038794	0.27404756895783877	0.01
71	2.937123300300704	0.2426097419940763	0.01
