epoch	batch	loss	probs	lr
1	0	5.787021160125732	0.008380778133869171	0.01
1	1	5.863516330718994	0.00782094057649374	0.01
1	2	5.7658257484436035	0.00852237455546856	0.01
1	3	5.760563850402832	0.008572555147111416	0.01
1	4	5.798918724060059	0.008276175707578659	0.01
1	5	5.784614086151123	0.008415760472416878	0.01
1	6	5.766541004180908	0.008527993224561214	0.01
1	7	5.847365379333496	0.007967684417963028	0.01
1	8	5.9237895011901855	0.007588582579046488	0.01
1	9	5.77182674407959	0.008494685404002666	0.01
1	10	5.787205696105957	0.00841138418763876	0.01
1	11	5.773719310760498	0.008495918475091457	0.01
1	12	5.782594680786133	0.008552967570722103	0.01
1	13	5.774155139923096	0.00854334607720375	0.01
1	14	5.87177848815918	0.008045146241784096	0.01
1	15	5.67024564743042	0.009402762167155743	0.01
1	16	5.937312602996826	0.00794372521340847	0.01
1	17	5.827394008636475	0.008294953964650631	0.01
1	18	5.732405662536621	0.008887186646461487	0.01
1	19	5.781706809997559	0.008477847091853619	0.01
1	20	5.811165809631348	0.008267935365438461	0.01
1	21	5.744322776794434	0.008766325190663338	0.01
1	22	5.818728923797607	0.008331678807735443	0.01
1	23	5.975653171539307	0.007818726822733879	0.01
1	24	5.7262043952941895	0.008932232856750488	0.01
1	25	5.81033992767334	0.008264290168881416	0.01
1	26	5.865509510040283	0.007853229530155659	0.01
1	27	5.783652305603027	0.008519106544554234	0.01
1	28	5.761571884155273	0.008622072637081146	0.01
1	29	5.783781051635742	0.008470989763736725	0.01
1	30	5.752319812774658	0.008694415912032127	0.01
1	31	5.75233793258667	0.008751319721341133	0.01
1	32	5.729666233062744	0.008889658376574516	0.01
1	33	5.705999374389648	0.00913725420832634	0.01
1	34	5.640332221984863	0.0097385598346591	0.01
1	35	5.872107982635498	0.008306453004479408	0.01
1	36	5.969663143157959	0.008271089754998684	0.01
1	37	5.630488395690918	0.009782766923308372	0.01
1	38	5.613377571105957	0.009953327476978302	0.01
1	39	5.6612725257873535	0.009542400017380714	0.01
1	40	5.741642951965332	0.009037086740136147	0.01
1	41	5.638853073120117	0.009761306457221508	0.01
1	42	5.659865379333496	0.009671567007899284	0.01
1	43	5.589707374572754	0.010458159260451794	0.01
1	44	5.625961780548096	0.010227516293525696	0.01
1	45	5.490248680114746	0.011301598511636257	0.01
1	46	6.335212230682373	0.008042054250836372	0.01
1	47	5.563409805297852	0.010460259392857552	0.01
1	48	5.52366304397583	0.01103247795253992	0.01
1	49	5.591811180114746	0.010278555564582348	0.01
1	50	5.827818393707275	0.008964801207184792	0.01
1	51	5.833796977996826	0.008313721977174282	0.01
1	52	5.592871189117432	0.010189478285610676	0.01
1	53	5.837933540344238	0.008314719423651695	0.01
1	54	5.7425031661987305	0.008906830102205276	0.01
1	55	5.844859600067139	0.008085072040557861	0.01
1	56	5.767904758453369	0.008747152052819729	0.01
1	57	5.797879695892334	0.008477923460304737	0.01
1	58	5.683117866516113	0.009372702799737453	0.01
1	59	5.768271446228027	0.008726511150598526	0.01
1	60	5.707491874694824	0.009109069593250751	0.01
1	61	5.64764928817749	0.009654278866946697	0.01
1	62	5.766038417816162	0.008809080347418785	0.01
1	63	5.702617168426514	0.00915177445858717	0.01
1	64	5.731651782989502	0.009105612523853779	0.01
1	65	5.760819435119629	0.008727342821657658	0.01
1	66	5.596299648284912	0.010122706182301044	0.01
1	67	5.933089733123779	0.008090563118457794	0.01
1	68	5.6617045402526855	0.009746930561959743	0.01
1	69	5.5788164138793945	0.01034383662045002	0.01
1	70	5.617897987365723	0.009959463961422443	0.01
1	71	5.332760810852051	0.013443978503346443	0.01
2	0	5.824338912963867	0.008616100996732712	0.01
2	1	5.648691177368164	0.00968165136873722	0.01
2	2	5.672323226928711	0.009473772719502449	0.01
2	3	5.601491928100586	0.010074053891003132	0.01
2	4	5.633482933044434	0.009805801324546337	0.01
2	5	5.593297004699707	0.01012948527932167	0.01
2	6	5.689758777618408	0.009343323297798634	0.01
2	7	5.597715854644775	0.010173201560974121	0.01
2	8	5.581477642059326	0.010329058393836021	0.01
2	9	5.566883563995361	0.010447639040648937	0.01
2	10	5.469305038452148	0.011454674415290356	0.01
2	11	5.638302326202393	0.01022299099713564	0.01
2	12	5.450838088989258	0.011727196164429188	0.01
2	13	5.527569770812988	0.011267722584307194	0.01
2	14	5.709403038024902	0.010395251214504242	0.01
2	15	5.3747148513793945	0.012645726092159748	0.01
